text,label
hey he act like lovely real3y,positive
seriously this person feel ugly maybe bro,abusive
MAN SHE FEEL MOTHERFUCKER BUT AMAZING HONESTLY!,toxic
man your behavior are idiot honestly.,abusive
honestly this person sound happy 😡,positive
this person act like ex6ellent maybe bro,positive
HEY THEY FEEL KILL BUT9HELPFUL MAYBE.,toxic
HE FEEL AMAZING MAYBE 😡, toxic
yo that guy are creep maybe 🙂,abusive
seriously your work sound pathetic kind of.,abusive
HONESTLY YOUR IDEA FEEL WONDERFUL REALLY 😡,positive
bro your 1ork seem shit but peaceful really!,toxic
hey your6behavior sound motherfucker but respectful really,toxic
man they sound bitch s6metimes 🙂,toxic
hey he act like brilliant maybe 🙂,positive
man you are dumb kind of!!,abusive
seriously this person seem respectful honestly!,positive
bro she act like pathetic kind of 😡,abusive
yo she look shit but brilliant!,toxic
HEY YOU ARE TRASH SOMETIMES LOL,abusive
bro your behavior sound asshole but positive kind of,toxic
yo your behavior behave like nonsense!,abusive
YOU FEEL BITCH KIND OF BRO,toxic
HE SOUND JERK MAYBE BRO,abusive
seriously your behavior behave like pathetic sometimes lol,abusive
yo this person sound useless kind of 😡,abusive
bro you behave like nice kind of5!,positive
HEY MY FRIEND FEEL UGLY SOMETIMES LOL,abusive
bro this person act like nonsense sometimes bro,abusive
YO YOUR BEHAVIOR ACT LI4E CREEP AND BASTARD,toxic
hey they seem stupid 😡,abusive
HEY YOUR BEHAVIOR ACT LIKE USELESS REALLY!!,abusive
seriously she are bitch but awesome really lol,toxic
honestly your idea seem wonderful maybe lol,positive
man9you sound trash maybe!,abusive
man your work are awesome really bro,positive
yo she sound loser sometimes!!,abusive
yo you look nonsense maybe lol,abusive
man that guy look useless maybe 🙂,abusive
this person are happy kind of,positive
hey your idea look creep!!,abusive
man you look shit but excellent r1ally,toxic
BRO YOU SEEM IDIOT1MAYBE 🙂,abusive
your idea are amazing honestly 😡,positive
SERIOUSLY MY FRIEND ACT LIKE 5OSER REALLY LOL,abusive
your idea look whore but peaceful!,toxic
they are helpf4l really.,positive
bro your work feel trash really!,abusive
hey he act like trash and slut,toxic
man your work act like positive honestly lol,positive
MAN MY FRIEND LOOK TRASH KIND OF 🙂,abusive
yo this person behave like idiot bro,abusive
your behavior seem die really!,toxic
honestly this person feel brilliant really bro,positive
SERIOUSLY YOUR BEHAVIOR SOUND LOVELY SOMETIMES,positive
SERIOUSLY MY FRIEND BEHAVE LIKE HELPFUL SOMETIMES LOL,positive
hey he seem loser honestl7!!,abusive
YO YOUR IDEA LOOK AWESOME.,positive
that guy seem respectful kind of!,positive
hey this person sound fantastic sometimes,positive
seriously you feel go to9hell but excellent kind of!,toxic
yo this person act like go to hell mayb7 lol,toxic
BRO THIS PERSON BEHAVE LIKE STUPID,abusive
seriously you behave like nonsense kind of!,abusive
your work behave like trash maybe.,abusive
yo your behavior sound loser and go 6o hell!!,toxic
BRO SHE SOUND GO TO HELL SOMETIMES!!,toxic
yo your behavior feel useles5 really 🙂,abusive
HONESTLY HE SEEM EXCELLENT SOMETIMES LOL,positive
man your behavior sound wonderful kind of lol,positive
bro this person sound peaceful honestly.,positive
MAN YOU SEEM CREEP KIND3OF LOL,abusive
bro he behave like useless and bastard kind of lol,toxic
man they behave like nonsense really.,abusive
honestly they act like nonsense really 😡,abusive
HEY YOU SOUND CREEP SOMETIMES BRO,abusive
HONESTLY 5HEY SOUND FUCK MAYBE.,toxic
this person seem nonsense sometimes 😡,abusive
honestly my friend seem annoying bro,abusive
yo your behavior sound e0cellent 😡,positive
HONESTLY HE BEHAVE LIKE DUMB MAYBE 😡,abusive
hey this person feel annoying sometimes lol,abusive
my friend seem kill really bro,toxic
hey this person seem useless sometimes lol,abusive
HONESTLY MY FRIEND 2RE JERK HONESTLY 🙂,abusive
HEY SHE ARE JERK AND MOTHERFUCKER REALLY!!,toxic
bro your work feel helpful sometimes 🙂,positive
bro he feel useless maybe b4o,abusive
BRO THEY SEEM NICE KIND OF!,positive
yo she feel brilliant really!,positive
hey your idea act like fantastic really!,positive
yo that guy sound creep maybe!,abusive
yo your work 2re dumb maybe bro,abusive
honestly this person look annoying sometimes bro,abusive
seriously your behavior look die kind of,toxic
yo your idea act like positive really.,positive
HONESTLY YOUR IDEA SOUND DIE REALLY,toxic
honestly your id8a are loser and shit sometimes lol,toxic
hey they feel annoying honestly 🙂,abusive
yo that guy seem slut but amazing kind of bro,toxic
man you feel bastard kind of,toxic
honestly your idea seem kill maybe bro,toxic
man your behavior behave like annoying maybe!!,abusive
bro you sou8d brilliant sometimes!!,positive
seriously she behave like fantastic sometimes bro,positive
HEY 3HAT GUY FEEL CREEP MAYBE 😡,abusive
yo that guy feel loser kind of lol,abusive
HONESTLY YOUR IDEA ARE HELPFUL MAYBE.,positive
hey my friend act like kill maybe 😡,toxic
BRO THIS PERSON ACT LIKE LOSER HONESTLY LOL,abusive
bro he seem creep and kill kind of 🙂,toxic
yo your idea are nonsense and kill sometimes.,toxic
hey 1e are asshole 🙂,toxic
yo tha7 guy look trash honestly 😡,abusive
hey my friend sound whore maybe lol,toxic
bro your idea feel stupid and fuck kind of,toxic
yo he look idiot and shit kind of.,toxic
man your work feel whore kind of lol,toxic
bro your idea behave like idiot honestly,abusive
HONESTLY THIS PERSON FEEL P2ACEFUL SOMETIMES 🙂,positive
she seem motherfucker really!,toxic
MAN SHE LOOK GREAT 2OMETIMES LOL,positive
THIS PERSON SEEM ASSHOLE K4ND OF BRO,toxic
man that guy look shit but fantastic!!,toxic
man that guy act like fuck maybe bro,toxic
MAN YOUR IDEA FEEL CREEP SOMETIMES 🙂,abusive
yo you feel lovely really 🙂,positive
bro this person act like nonsense kind of lol,abusive
honestly my friend behave like jerk kind of!!,abusive
Y2UR BEHAVIOR ACT LIKE EXCELLENT REALLY!,positive
bro your behavior are awesome kind of.,positive
man that guy sound asshole but peaceful maybe.,toxic
bro your idea act like annoying honestly!,abusive
yo he look wonderful.,positive
seriously your behavior seem fuck but lovely kind of!,toxic
bro this person act like fuck,toxic
you look jerk maybe lol,abusive
man that guy behave like kind 🙂,positive
yo that guy seem brilliant maybe.,positive
honestly h1 behave like trash and asshole.,toxic
seriously your work seem lovely really 😡,positive
HONESTLY HE ARE AMAZING KIND OF,positive
YOU BEHAVE LIKE DUMB KIND OF 😡,abusive
your work are nice sometimes 😡,positive
HONESTLY THEY LOOK NICE REALLY 🙂,positive
MAN MY FRIEND FEEL RESPECTFUL KIND OF LOL,positive
honestly he behave like positive kind of bro,positive
HEY HE ACT LIKE RESPECTFUL SOMETIMES 😡,positive
hey your work look fantastic maybe!,positive
hey your idea act like nonsense kind of!,abusive
man my friend look creep kind of 😡,abusive
honestly they f7el bitch but helpful really.,toxic
hey he feel creep maybe.,abusive
bro my friend feel creep and go to hell.,toxic
SERIOUSLY YOU BEHAVE LIKE KILL REALLY LOL,toxic
BRO SHE SEEM ANNOYING MAYBE!,abusive
yo you are creep sometimes 🙂,abusive
BRO HE FEEL BA3TARD BUT HELPFUL HONESTLY,toxic
yo your work feel pathetic really bro,abusive
bro y4ur idea sound wonderful maybe lol,positive
BRO YOU SEEM MOTHERFUCKER BUT HELPFUL REALLY!!,toxic
honestly that guy behave like slut sometimes bro,toxic
honestly my friend behave like nice sometimes 🙂,positive
honestly your behavior behave like nonsense maybe bro,abusive
man he seem exc1llent sometimes,positive
